mp_0115d					
init					
lp_jewel					
0x15a3	0x36	Choice		Amber	
0x15c0	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x15fc	0x36	Choice		Lapis Lazuli	
0x1620	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x165c	0x36	Choice		Amethyst	
0x167c	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x16b8	0x36	Choice		Ruby	
0x16d4	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x1710	0x36	Choice		Emerald	
0x172f	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x176b	0x36	Choice		Diamond	
0x178a	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x17c6	0x36	Choice		Aquamarine	
0x17e8	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x1824	0x36	Choice		Pink Diamond	
0x1848	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x1864	0x36	Choice		Quit	mp_0002 0x433f
0x18ea	0x41	None		[Amber]	
				Gemstone of yellow amber, made of hardened tree sap.	
				It has been used as jewelry since ancient times for	
				its uniquely warm characteristics.	
0x1a3a	0x41	None		[Lapis Lazuli]	
				Vivid ultramarine gemstone.	
				One of the most ancient gemstones, they	
				are often found buried with ancient kings.	
0x1b70	0x41	None		[Amethyst]	
				Violet gemstone.	
				It is considered a symbol of sincerity,	
				and favored by people of faith.	# buddhism apparently
0x1c76	0x41	None		[Ruby]	
				Vivid crimson gemstone.	
				Those that sparkle like stars when reflecting	
				light are known as 'star rubies.'	
0x1d9d	0x41	None		[Emerald]	
				Clear, bright green gemstone.	
				Known to be a rare gemstone since ancient times,	
				they are said to have the power to predict the future.	
0x1eeb	0x41	None		[Diamond]	
				Transparent and colorless beautiful gemstone.	
				Known to be the hardest mineral, they are	
				popular in wedding rings to show the bond	
				between husband and wife.	
0x2050	0x41	None		[Aquamarine]	
				Clear, ocean-colored gemstone.	
				They have been used since ancient times by sailors	
				as protective charms possessing the power of the sea.	
0x21a0	0x41	None		[Pink Diamond]	
				Diamond tinged with a faint red color.	
				They are even rarer than the colorless diamonds,	
				and command large sums of money.	
lp_treasure1					
0x250d	0x36	Choice		Angel Statue	
0x2531	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x256d	0x36	Choice		Judgment Mirror	
0x2594	0x36	Choice		？？？？？？	mp_0115a 0x176c
0x25d0	0x36	Choice		Crystal Ball	
