mp_0115					
init					
0x5b7	0x06	Caelum		ANI_WAIT2	
LP_Collect					
talk_Volans					
0xdd2	0x98	Volans		Noi... You've come back to us!?	
0xe21	0x98	Volans		How about now? Are you willing	
				to let me conduct experiments	
				on your body now?	
0xe8a	0x98	NOI		I-I'm, uh, gonna have to pass on that.	
0xec4	0x98	ALTO		(Same as always...)	
0xf21	0x98	Volans		Heh, it has been quite some time since	
				we've seen each other, Baron, my friend...	
				You look better than ever.	
0xf9b	0x98	Volans		After what happened during last	
				year's events, it seems the times	
				are changing for the better.	
0x1045	0x98	Volans		After the abnormalities ended,	
				the storm at the End of the World	
				cleared up in a flash of light.	
0x10d7	0x98	Volans		And beyond, we found the	
				rest of the world...	
0x1131	0x98	Volans		Though it's already been a year since then,	
				researchers everywhere are still very busy.	
0x119c	0x98	Volans		I am almost annoyed at my being	
				asked for help at every moment.	
0x11f6	0x98	ALTO		Haha... Well, it is understandable.	
				The conventional wisdom about the world	
				was suddenly turned on its head, after all.	
0x1270	0x98	ALTO		From now on, I can only wonder what	
				will happen to the Ciencia Sea...	
				As well as the rest of our world.	
0x12da	0x98	Volans		There's no way of knowing...	
				No matter how much research you do,	
				no one can determine the future.	
0x1341	0x98	Volans		I am sure that is for you	
				young ones to decide.	
0x138c	0x98	ALTO		...I agree.	
0x13f6	0x98	Volans		The storm at the End of the World has cleared	
				up, and we've found the rest of the world...	
				Our conventional wisdom has been overturned.	
0x148b	0x98	Volans		The future of this sea will be decided	
				by young ones such as yourself.	
0x14e3	0x98	Volans		Heh, of course, I am committed to	
				still continuing my research.	
				I do not intend to lose to the young.	
0x158d	0x98	Volans		The future of this sea will be decided	mp_0115 0x148b
				by young ones such as yourself.	
0x15e5	0x98	Volans		Heh, of course, I am committed to	
				still continuing my research.	
0x16be	0x36	Choice		Talk	mp_0002 0x42a1
0x16d0	0x36	Choice		Read Ancient Tablet	
0x16f1	0x36	Choice		Quit	mp_0002 0x433f
0x1757	0x98	Volans		...You guys have brought a	
				wealth of knowledge to light.	
				Allow me to thank you.	
0x17c9	0x98	Volans		Now, I'm sure humanity will require much	
				time in order to right its wrongs...	
0x1830	0x98	Volans		As for the message on the stone tablets,	
				I will keep it here. Please let me know	
				if you wish to read it again.	
0x1951	0x98	Volans		The world is in turmoil, and the	
				Empire and other nations of the	
				continent are at the brink of war.	
0x19dd	0x98	Volans		However, conversely, if we manage to get	
				through this chaos somehow, you would think	
				we should also be able to stop the war.	
0x1a70	0x98	Volans		...If I can put together the truth of these	
				abnormalities and publish them with the Baron's	
				connections, then it should be possible.	
0x1af9	0x98	Volans		Hehe, we must do all	
				that is in our power.	
0x1b67	0x98	Volans		...If I can put together the truth of these	
				abnormalities and publish them with the Baron's	
				connections we could relieve some of the chaos.	
0x1c07	0x98	Volans		Hehe, there is nothing more satisfying than	
				being able to influence the world with a	
				single paper. I shall do my best to help.	
0x1caf	0x98	Volans		Where you are heading now... I am sure all	
				the answers are waiting for you there.	
0x1d18	0x98	Volans		As a scientist, it is frustrating	
				that I cannot go with you...	
0x1d78	0x98	Volans		I look forward to hearing your	
				stories upon your safe return.	
0x1e02	0x98	Volans		As a scientist, it is frustrating	mp_0115 0x1d18
				that I cannot go with you...	
0x1e62	0x98	Volans		I look forward to hearing your	mp_0115 0x1d78
				stories upon your safe return.	
0x1efa	0x98	Volans		Though Noi explained everything to me, such	
				as the whole other world on the moon...	
0x1f81	0x98	Volans		In fact, had I not seen what	
				Noi spoke of with my own eyes,	
				I never would have believed it.	
0x1ffd	0x98	Volans		It feels like everything I know is wrong.	
				Ah, what a wonderful feeling...	
0x206b	0x98	Volans		...Oh, I'm sorry. I got	
				carried away, didn't I?	
0x20e8	0x98	Volans		Anyway, I will continue my research	
				to attempt to get a clearer picture	
				of this situation.	
0x215b	0x98	Volans		Let me know if you find anything.	
0x21d8	0x98	Volans		I never thought that a being	
				with such power beyond human	
				understanding could exist...	
0x224d	0x98	Volans		It is a little too far removed from	
				reality for me to believe my eyes.	
0x22b4	0x98	Volans		...Anyway, we will do	
				what we can to help.	
0x22fb	0x98	Volans		Nayuta, please do your best.	
0x2360	0x98	Volans		I never thought that a being	mp_0115 0x21d8
				with such power beyond human	
				understanding could exist...	
0x23d5	0x98	Volans		...Anyway, we will do	
				what we can to help.	
				Do your best, Nayuta.	
0x246e	0x98	Volans		Hmm, it is getting cold.	
				It is like the winter in	
				my homeland, the Empire.	
0x24de	0x98	Volans		I am from the northern reaches of the Empire.	
				This degree of cold is not unusual there.	
				Of course I know how to deal with this.	
0x2587	0x98	Volans		Ha ha ha, if you are cold,	
				wear heavier clothing, Nayuta.	
0x2600	0x98	Volans		I am from the northern reaches of the Empire.	mp_0115 0x24de
				This degree of cold is not unusual there.	
				Of course I know how to deal with this.	
0x26a9	0x98	Volans		If you are cold, wear	
				heavier clothing, Nayuta.	
0x2727	0x98	Volans		In the Ciencia Sea, sometimes parts	
				of ruins fall from the sky...	
0x278a	0x98	Volans		I once retrieved two separate fragments of	
				such ruins that fell at different locations.	
0x27e0	0x98	Volans		I compared the two, and	
				they were a perfect match.	
0x2838	0x98	ALTO		Huh, so what does that mean...?	
0x286f	0x98	Volans		Hehe, I suppose we could think of	
				it as a single ruin crumbling and	
				falling in different places.	
0x28d9	0x98	Volans		However, the two drop sites	
				are the northern and southern	
