mp_5000
init
ev_goal
floor01_anime
floor02_anime
floor03_anime
floor04_anime
floor05_anime
floor06_anime
floor07_anime
floor08_anime
floor09_anime
floor10_anime
floor11_anime
battle
0x20ca	0x6B	ALTO		Exclamation	
dead_boss
open_door
battle2
0x2551	0x6B	ALTO		Exclamation	
dead_2
open_door2
SB_5_S07_appear_ALTO
SB_5_S07_appear_NOI
EV_5_S07_tower1_start
0x2df4	0x06	ALTO		ANI_LOOK_AROUND	
0x2e21	0x98	ALTO		This is the interior	
				of Heliograd...	
0x2f2a	0x06	ALTO		ANI_WAIT4	
0x2f51	0x98	ALTO		Of course, we're very high up...	
				I'm a little nervous.	
0x2fec	0x98	NOI		Nayuta, watch your step.	
				If you fall, you're done for.	
0x30b1	0x06	ALTO		ANI_WAIT	
0x310f	0x06	ALTO		ANI_GESTURE2	
0x3139	0x98	ALTO	#6A	Noi, how do we	
				climb this thing?	
0x317b	0x06	NOI		ANI_GESTURE1	
0x31a4	0x98	NOI		If you touch that cube-shaped device,	
				we should be able to ascend.	
0x3201	0x06	NOI		ANI_THINK	
0x3227	0x98	NOI		But I'm sure Zext	
				has already gone	
				through here...	
0x3284	0x06	ALTO		ANI_THINK2	
0x32ac	0x98	ALTO	#6A	...He probably has plenty of	
				enemies and traps waiting for us.	
0x3315	0x06	NOI		ANI_WAIT	
0x333a	0x06	ALTO		ANI_GESTURE2	
0x3364	0x98	ALTO	#6A	But I'm not scared.	
0x339e	0x06	ALTO		ANI_JOY	
0x33c3	0x98	ALTO	#6A	Let's go... To Creha!	
