mp_5101
init
0xe0	0x06	b004		ANI_EL_WAIT	
EV_get_down_elevator
EV_5_S14_transform_boss
0x2fa	0x06	PLAYER1		ANI_WHEEL	
0x324	0x06	PLAYER2		ANI_ATK4	
0x407	0x06	PLAYER1		ANI_WAIT	
0x430	0x06	PLAYER2		ANI_WAIT	
0x5d1	0x06	b004		ANI_ON	
EV_5_S13_arrive_relay
0x855	0x06	b004		ANI_STOP	
0xac7	0x06	NOI		ANI_LOOK_AROUND	
0xb0b	0x06	ALTO		ANI_LOOK_AROUND	
0xb38	0x98	ALTO		...Huh, it stopped?	
0xb6e	0x98	ALTO		This doesn't seem	
				like the top...	
0xbbf	0x06	NOI		ANI_THINK	
0xbe5	0x98	NOI	#6A	This is my first	
				time here, too...	
0xc2f	0x6B	NOI		Surprise	
0xd5f	0x98	NOI	#6A	It seems like we can use	
				Gear Drive to climb higher.	
0xdee	0x06	ALTO		ANI_WAIT4	
0xe15	0x98	ALTO		...All right, in that case,	
				let's go as far as we can.	
0xec3	0x06	ALTO		ANI_WAIT	
SB_5_S13__elevator_se
