mp_3000d
init
ev_goal
open_door2
0x505	0x06	switch1		ANI_LEVER_ON_LOCK	
close_door3_4
0x56d	0x6B	ALTO		Exclamation	
dead_EV01
open_door3_4
switch2
switch3
wind
ev_timer
0xe35	0x06	switch2		ANI_LEVER_OFF	
0xe63	0x06	switch3		ANI_LEVER_OFF	
crystal1
SB_3_S09_appear_ALTO
SB_3_S09_appear_NOI
EV_3_S09_mount1_start
0x14f9	0x06	st		ANI_PATA2	
0x16a5	0x6B	ALTO		Exclamation	
0x16d7	0x06	ALTO		ANI_SNEEZE	
0x16ff	0x98	ALTO		Achoo!	
0x172d	0x98	ALTO		mp_0001 0x17fd1
0x1777	0x98	ALTO		And what is this white	
				fluffy powder...!?	
0x17f3	0x98	NOI	#6A	Huh, could it be...	
				You've never seen	
				snow before?	
0x1847	0x6B	ALTO		Surprise	
0x18a0	0x98	ALTO		This is "snow!?"	
0x18d0	0x06	ALTO		ANI_THINK2	
0x18f8	0x98	ALTO		Because Remnant Island is warm year-round,	
				I've only ever heard stories about it...	
0x196a	0x06	NOI		ANI_GESTURE1	
0x1993	0x98	NOI	#6A	For this continent too. In this season,	
				the various plants should be brightly	
				colored and bearing fruit, but...	
0x1a22	0x06	NOI		ANI_DEJECTED	
0x1a4b	0x98	NOI	#6A	Because of the changes, it's	
				seems it's become quite a cold season.	
0x1aaf	0x06	ALTO		ANI_WAIT	
0x1b0d	0x06	ALTO		ANI_DENY	
0x1b33	0x98	ALTO		Though I should say I dislike the cold...	
				I can't say anything like that.	
0x1b9b	0x06	ALTO		ANI_JOY	
0x1bc0	0x98	ALTO		I've got to find the Yupina Grass!	
0x1c04	0x06	NOI		ANI_NOD	
0x1c28	0x98	NOI	#6A	Yeah...	
				We can't lose!	
0x1c5f	0x06	NOI		ANI_GESTURE2	
0x1c88	0x98	NOI	#6A	mp_2099 0x1a2a0
